country_name,country_code,indicator_name,indicator_code, debt 
Romania,,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,845,266,582.00 "
Romania,ROU,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,380,012,531.00 "
Romania,ROU,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 192,267,765.60 "
Russian Federation,RUS,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,
Russian Federation,RUS,"PPG, official creditors (DIS, current US$)",yes," 33,043,274.40 "
Russian Federation,RUS,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 19,231,415.90 "
Rwanda,RWA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 39,694,908.50 "
Rwanda,RWA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 327,248,280.20 "
Rwanda,RWA,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 27,569,081.60 "
Samoa,WSM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 21,715,408.40 "
Samoa,WSM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 10,815,581.10 "
Samoa,WSM,"PPG, official creditors (INT, current US$)",yes," 5,117,819.00 "
Sao Tome and Principe,STP,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 2,941,396.30 "
Sao Tome and Principe,STP,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 10,636,848.50 "
Sao Tome and Principe,STP,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 1,354,432.70 "
Senegal,SEN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 302,678,959.30 "
,SEN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,435,396,362.00 "
Serbia,SRB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,043,951,488.00 "
Serbia,SRB,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,326,485,307.00 "
Serbia,SRB,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 249,341,616.40 "
,SLE,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 32,899,920.50 "
Sierra Leone,SLE,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 98,339,852.80 "
Sierra Leone,SLE,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 7,862,712.90 "
